key,target,type,f2_area_error,f0_symmetry
90,1,test,-1.2880780076191858,0.7852015862685313
961,0,test,0.9601703181150105,-0.9785416183234402
626,1,test,-0.9165811898589634,0.8179092101977185
460,1,test,0.846394108734694,1.2178656489432844
748,1,test,1.2019148600176348,1.2718253623192644
427,0,test,2.6579310782480148,0.6418382253376773
100,0,test,0.1450650024236687,-0.8326634602230569
869,1,test,0.5257784129263472,1.2627375323163403
251,0,test,-0.4222438913643942,-0.6888302877715093
225,0,test,2.127813078801931,-1.098397768827751
62,0,test,0.03607027374460636,-0.9142552335744699
611,1,test,0.40722858192187184,1.054533338019698
171,0,test,-1.4505158848712525,-0.2948628145850485
550,1,test,-1.3375531107567773,0.8177299012081727
780,1,test,0.3711443284612188,1.5689046875685504
713,1,test,-1.0849241106585543,0.8614605713124494
244,1,test,-1.0292905544081639,2.237159312605325
619,1,test,0.6686006150367159,0.2952637873856896
455,1,test,-0.7475505027675658,0.3510460719449041
366,1,test,-0.9469543863442045,2.0246718330403652
352,0,test,-1.1581502406643496,-0.8041068003189306
317,1,test,-1.2419294355420893,1.0753037320060375
153,1,test,-1.3086125800458506,2.2346457384689855
753,1,test,-1.201299368629251,2.0460490449683784
373,1,test,-1.3033054503081307,1.3716763539220735
660,0,test,-2.8489278664566395,1.1086703241394416
829,1,test,-0.8693320759569492,0.49714841065549487
963,0,test,2.148517985191233,-0.9466022740310547
936,1,test,1.6285053822078595,0.8616031101975619
440,0,test,0.6606094371079597,-1.0887886466936971
289,0,test,0.1956292516781588,-0.9722878453277116
451,1,test,1.1386109035188454,1.5176370525447438
685,0,test,-1.1961089949242225,-0.8445831634349307
613,0,test,0.06106647821032829,-0.7950966252231091
755,1,test,-0.4584285250427136,0.6772172838552271
86,0,test,-1.4506678153009829,-0.6640713711560149
718,0,test,-0.2907330125620933,-0.9671345188130837
107,0,test,0.8591546772308669,-0.7798220905289045
103,0,test,-1.192903638479164,-1.0276063334098013
204,1,test,-1.037232068941795,1.9500102413581757
182,1,test,1.5665638065247887,1.8438487157860417
349,1,test,1.6255572934770652,1.055153522639338
372,1,test,-1.2142306489651833,0.5833595221569945
958,1,test,-1.1949340180223604,0.9763768219345054
201,1,test,2.497573310534083,1.6309447187636867
789,0,test,0.11028883029857972,-1.1647523611773678
530,1,test,-0.2912169365652788,0.45057843443122825
694,0,test,2.9232142503881073,-1.1456468992345625
561,0,test,1.2294011038918349,-1.01122304483781
124,0,test,-0.29941379295991777,-1.6119959051223596
299,1,test,1.787309360633596,0.21334652728809766
632,0,test,1.5163975406585444,-0.9316936889171885
842,1,test,0.5189295725533744,1.3380832357802546
566,0,test,1.9360492024204536,-1.059097715246904
232,0,test,0.9112577634915298,-0.9452612381572552
57,0,test,-0.12253770973023737,-1.1141665804348555
490,1,test,1.520460081763888,1.478101517898649
960,1,test,-1.195416569559723,0.7223190317875708
261,1,test,0.6074437770251078,1.7399522986214389
667,0,test,-1.0841349772673672,-1.2163214967011264
762,0,test,0.9920612160162159,-0.9822436604044317
569,1,test,-1.2473509732766712,-0.10466660301402664
202,0,test,-0.2994769361628099,-1.669082349736878
882,1,test,1.5905183028691412,1.4673062694950294
212,0,test,1.2453028578467733,-1.0308073834499882
567,0,test,-0.43071670528378303,-0.7920688819884025
598,0,test,-0.4717811082035537,-1.0589741117546456
104,0,test,-1.2009936259357643,-0.9972283931960264
282,1,test,0.9770604014863534,1.3424310499854732
347,0,test,0.8487505361522238,-3.015359453216216
314,0,test,1.5950830174834096,-1.069132569532557
565,0,test,1.7245383764724842,-0.9616171608740425
21,0,test,-1.9418208948418223,-0.10037522984158254
328,1,test,-0.8796400904403179,0.9639893573485092
469,1,test,-1.009859734135888,1.2501954318843
80,1,test,-1.3004104994271217,0.5303737037368642
771,0,test,1.5830143099826959,-1.147457594632314
940,1,test,3.0228532919593434,1.6122386678069782
326,0,test,-0.9523489703602295,-0.8869067153229133
341,1,test,2.487224939787785,2.3727426516024157
367,0,test,0.25788591971734653,-1.1300660724236427
184,1,test,1.2817166888306308,0.786709411504065
597,1,test,1.2322735182781537,1.0246390538892183
733,1,test,-1.150289675710251,1.2759139303317346
155,0,test,0.25599675037176184,-0.9935961662421441
224,0,test,0.002581793765942475,-1.8896721718233458
274,0,test,-0.2294695687136581,-0.8730605484454782
981,1,test,-0.9564010448655422,0.7878343707419763
193,1,test,-0.03696116263500859,1.4340418467019127
989,0,test,-1.339139356616955,-0.8001587440663813
974,0,test,-1.6846222974728082,-0.048281115539789976
408,1,test,-1.250548132187229,0.03221571922850974
750,0,test,-1.989766130732245,0.037769148643196804
254,0,test,0.997602223102695,-0.9702876619491149
686,1,test,1.3357144853425167,0.9130332912354575
249,1,test,-2.0684499143946393,-0.18941247699845087
544,1,test,-0.6937371016162457,1.0128306640061302
954,0,test,0.08637177805923635,-1.811129184315054
215,0,test,-2.0224714184745123,0.12204191359836258
650,1,test,-1.1525398558659448,0.3977752931644094
59,1,test,-1.1818013385570323,1.970960896424192
40,1,test,0.8461299310043067,0.8134958817408473
364,1,test,-1.2840535688117867,-0.6717918440058175
14,0,test,-1.1613788331877666,-0.6536903038451656
286,1,test,-1.3426208253701615,1.1051179972083656
661,0,test,-2.3015682085072413,0.46635314794788907
533,1,test,1.3827397738778857,0.9415440029899981
671,0,test,-0.8903185199091667,-1.1399142550626
703,1,test,0.825346324757905,0.6833454332149942
747,1,test,1.6788708489569961,0.5351540609163702
456,1,test,-0.48403002836415676,1.3163373760995387
955,0,test,-0.10163828713748158,-2.2181380970916593
24,1,test,-0.756268704006462,1.7523598420660675
562,0,test,-0.2483648950383751,-1.8101492710989184
217,0,test,0.2513581514000749,-2.637132700343317
978,1,test,0.7774193752634068,0.9252183405298094
160,0,test,0.5777145088733043,-1.0069939518155635
237,0,test,-1.6318755958877886,-0.3765430757774224
255,1,test,-1.0266200824255785,-0.17814277952788782
453,1,test,1.9445579573241394,0.4603043042109666
649,1,test,-1.7451887870854592,0.409820417131461
638,0,test,-1.5434916084369747,-0.6145842395983869
290,0,test,-0.3937336094196848,-0.844871176103542
327,1,test,2.009219537611121,0.8859967496106889
287,1,test,-0.943965227407568,1.1906632062944658
138,1,test,-0.9266126537725643,0.9054259317810732
758,1,test,0.7591326510468686,0.4931467695465035
146,0,test,-2.113911323262762,0.11204515820884886
830,0,test,0.8652704016459649,-0.8400385077832302
799,0,test,-1.362337809163657,-0.8522568181212673
413,1,test,-0.9081827862901827,-0.2744818176991246
605,1,test,-1.5344418519694627,-0.19478964031678325
197,0,test,1.4456137184174673,-1.0991663407147896
172,1,test,0.4795361048424803,1.6334877427292056
83,1,test,0.15744123454909797,1.6514236025032578
580,0,test,2.3188129733869483,-0.9639382861493777
807,0,test,-0.5024775499465384,-1.5447872974630434
483,0,test,2.1661463574973046,-0.8151936277859093
987,0,test,1.7970931570388458,-1.3347586119500552
900,0,test,-1.3825639488292683,-0.6796513594379288
665,1,test,0.9244005561431924,1.7681704115490782
639,1,test,1.1643500846209804,0.7749473674632062
342,0,test,1.8179375321262625,-0.9269591353357044
464,0,test,0.1119222861050444,-0.9450720734509555
498,1,test,-1.007067376251121,0.42587005107800546
906,1,test,-0.9796544269883426,2.8874302864319756
439,1,test,0.6371064101006609,1.1332567394567876
384,0,test,-0.773847111209502,-0.9578941304596742
553,0,test,-0.7247115798384433,-1.2808520457430075
489,0,test,-0.4990368247521949,-1.7648243719561703
356,0,test,2.258209401179836,-0.9686614180822791
448,0,test,-0.8159744679578895,-0.9196860660486254
177,1,test,-1.055490584135128,1.6201233428042174
142,0,test,0.33479363283963925,-1.0438751905897417
817,1,test,-1.057116718388417,0.9118363366610915
480,0,test,0.060008896424336156,-2.013250597760152
77,0,test,-0.9160205491624944,-1.3463936630854159
760,1,test,-1.2264343862212979,1.2024881825383023
607,1,test,-1.2429075098398605,1.675698563678559
618,1,test,-1.3791213375548521,0.9263614766698361
78,0,test,-1.0284201712776522,-0.8385660068679259
419,0,test,0.16011040869296145,-1.0137556000916406
933,1,test,0.8048369523734346,0.4978207831909526
581,0,test,-1.2946972884003962,-0.5058822332899147
922,0,test,0.7555423884870494,-1.2492541865927382
306,1,test,-0.8549268116081606,0.7517533948686557
45,1,test,-0.9012890085296339,0.27453558447630777
429,0,test,0.2953327328360966,-0.7148811891820788
788,1,test,-0.5444616387142855,-1.064324293509244
433,0,test,0.9636117736183702,-1.1268238574062093
131,1,test,-1.2897333004433214,0.02414113579985855
270,0,test,-0.2799313411514366,-0.9339310608129818
617,1,test,-0.9974000808215482,0.45977203035972414
582,1,test,1.704896561252752,0.994782627328621
907,0,test,-0.8981465496857259,-0.9441976631392105
150,1,test,2.4279590103684034,1.6413082972878845
262,1,test,-1.0543011048637085,0.9010706542375208
163,1,test,-0.9346666418491135,0.07040222090910453
241,0,test,1.6154863444963734,-0.960897411575725
226,1,test,-1.0627645751259938,-0.19518673511779538
252,0,test,-1.4885001902259951,-0.3394121881482194
51,1,test,-1.0091664115868209,0.06495739263003619
418,1,test,1.1472796517647423,0.17360283974435964
506,0,test,1.5006999730968036,-0.9792724927665969
63,1,test,0.9427954451311883,0.9972173074155971
417,1,test,3.0175361559419787,0.9748772516575566
730,1,test,2.708583374675473,1.6925411035633726
463,1,test,0.8749647478147042,1.0318627099137665
75,1,test,2.1159395059535804,0.9794113873988406
303,1,test,-0.8942014115999913,1.3461421435034984
58,0,test,-1.0930469230955224,-0.856340451268883
250,0,test,-1.6586873890320817,-0.09029107987092211
210,1,test,-0.7901742488845133,-0.5188783757350273
68,0,test,0.7141571109664995,-0.9032230704597582
676,1,test,-1.1588254240976097,-0.8049321887797736
586,1,test,0.33352867161109645,0.4366555303245031
322,0,test,1.0144385482243365,0.6103944381477195
863,0,test,0.5769520824021421,-2.9359140133286106
399,0,test,-1.4329094441930768,-0.24530296441514576
397,1,test,1.4278179611736637,1.882629558905979
930,1,test,-1.0863697668857464,0.09998661512231444
865,1,test,0.8259469085907833,1.1731075894142038
294,0,test,1.701453825987967,-0.956573983127637
318,1,test,1.8320162654622765,0.6923461424638881
89,1,test,-1.0804664951311906,0.770334608484416
368,0,test,2.369641447505233,-0.9339660431022937
861,1,test,-0.9887214753740993,0.25047278237928117
525,1,test,3.0447000833703344,0.9327566415063338
382,1,test,-0.5257540444102977,-0.418207652174291
601,0,test,-0.22743906951669457,-0.956464015911443
895,0,test,1.705955017500326,-1.0229863217760735
535,1,test,0.7314467709405117,0.8102807322662009
41,1,test,-0.46373326429692086,-0.02615825482496592
415,0,test,-2.8630882282637664,1.1118131943977398
149,0,test,2.353183750634673,-1.1847142048830857
91,1,test,2.4512176757543642,0.857047433078129
834,1,test,0.6102877711243668,0.5262866341908794
560,1,test,-1.1515727005539305,2.300749285963511
44,0,test,-0.501697044936187,-1.5215254020482178
106,1,test,1.4257432402554482,1.6097737047211893
39,0,test,2.0039317823455995,-1.2157361922145211
16,0,test,1.0889962412269947,-0.784508705722704
765,1,test,1.462877492488145,1.0394793325722618
893,1,test,1.5269833159590447,1.315627400782392
393,0,test,-0.6300450915160164,-1.4253101642483905
744,0,test,1.6725104200208216,-0.9294488195926214
967,1,test,1.178784318401286,1.314664964523856
644,0,test,-1.7956147127427788,0.01454088290675104
438,0,test,0.7765321469185573,-3.0783822903686793
246,1,test,0.06701440865068731,1.0147556495613412
308,1,test,1.1899832055082344,1.0911362340772581
444,1,test,-1.166631980581843,0.5945432983378822
